model,task_suite,task_id,task_name,episode_idx,max_steps,obs_type
lerobot/pi05_libero_finetuned,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,0,pick_up_the_black_bowl_between_the_plate_and_the_ramekin_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,1,pick_up_the_black_bowl_next_to_the_ramekin_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,2,pick_up_the_black_bowl_from_table_center_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,3,pick_up_the_black_bowl_on_the_cookie_box_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,4,pick_up_the_black_bowl_in_the_top_drawer_of_the_wooden_cabinet_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,5,pick_up_the_black_bowl_on_the_ramekin_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,6,pick_up_the_black_bowl_next_to_the_cookie_box_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,7,pick_up_the_black_bowl_on_the_stove_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,8,pick_up_the_black_bowl_next_to_the_plate_and_place_it_on_the_plate,2,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,0,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,1,280,image+language
lerobot/pi05_libero_finetuned,libero_spatial,9,pick_up_the_black_bowl_on_the_wooden_cabinet_and_place_it_on_the_plate,2,280,image+language
